,Time,Online Retail Rate
159,2020-01-30,19.1
160,2020-03-01,22.1
161,2020-03-31,30.3
162,2020-05-01,32.8
163,2020-05-31,31.3
164,2020-06-30,28.3
165,2020-08-01,27.0
166,2020-08-31,26.7
167,2020-10-01,29.0
168,2020-10-31,37.2
169,2020-12-01,31.3
170,2020-12-31,37.8
171,2021-01-30,36.5
172,2021-03-02,34.4
173,2021-04-01,30.1
174,2021-05-02,28.5
175,2021-06-01,27.9
176,2021-07-02,28.0
177,2021-08-01,27.7
178,2021-08-31,28.3
179,2021-10-01,28.9
180,2021-10-31,32.8
181,2021-12-01,30.5
182,2021-12-31,30.1
183,2022-01-30,27.9
184,2022-03-02,26.3
185,2022-04-01,26.5
186,2022-05-02,25.7
187,2022-06-01,25.2
188,2022-07-01,24.9
189,2022-08-01,24.3
190,2022-08-31,25.1
191,2022-10-01,25.6
192,2022-10-31,29.6
193,2022-12-01,26.7
194,2022-12-31,27.0
195,2023-01-30,25.4
196,2023-03-02,25.7
197,2023-04-01,25.4
198,2023-05-02,25.4
199,2023-06-01,24.9
200,2023-07-02,26.1
